procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  20124 1514340  75120 845880    0    0     0     0 11538 30564 27 40 34  0  0
 2  0  20124 1509876  75120 845880    0    0     0     0 11648 28943 27 39 34  0  0
 2  1  20124 1505784  75124 845880    0    0     0    24 10459 29139 24 36 39  0  0
 2  0  20124 1501320  75124 845880    0    0     0     0 10798 28487 25 41 34  0  0
 3  0  20124 1496856  75124 845884    0    0     0     0 11398 29118 29 38 34  0  0
 3  0  20124 1492516  75124 845884    0    0     0     0 11351 31437 27 39 34  0  0
 3  0  20124 1488052  75124 845884    0    0     0     0 11599 29573 26 40 34  0  0
 3  1  20124 1483588  75128 845884    0    0     0    24 11797 28804 24 42 34  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  20124 1479248  75128 845884    0    0     0     0 11257 28446 23 42 35  0  0
 1  0  20124 1474784  75128 845884    0    0     0     0 11791 29397 27 40 34  0  0
 1  0  20124 1470816  75128 845888    0    0     0     0 11560 27675 24 41 34  0  0
 1  0  20124 1466352  75128 845888    0    0     0     0 12047 30294 29 37 34  0  0
 1  1  20124 1462012  75132 845892    0    0     0    24 12211 30370 25 40 34  0  0
 1  0  20124 1457672  75132 845892    0    0     0    16 11535 29809 25 41 34  0  0
 1  0  20124 1453208  75132 845892    0    0     0     0 11331 28539 26 40 34  0  0
 3  0  20124 1448992  75132 845892    0    0     0     0 10925 28583 23 38 38  0  0
 3  0  20124 1444528  75132 845892    0    0     0     0 11678 29949 25 41 34  0  0
 3  1  20124 1440188  75132 845892    0    0     0    48 11147 26960 24 41 34  0  0
 3  0  20124 1435724  75132 845892    0    0     0    96 12035 32575 27 40 34  0  0
 2  0  20124 1431416  75132 845892    0    0     0     0 11932 29330 25 41 35  0  0
 1  0  20124 1427068  75132 845900    0    0     0     0 11203 29186 24 41 34  0  0
 3  0  20124 1422480  75132 845900    0    0     0     0 11255 28202 26 40 34  0  0
 3  1  20124 1418140  75140 845892    0    0     0    48 11123 27493 27 39 34  0  0
 2  0  20124 1413800  75140 845900    0    0     0    36 11111 28457 26 41 34  0  0
 3  0  20124 1409460  75140 845900    0    0     0     0 11047 29705 26 40 35  0  0
 3  0  20124 1405160  75140 845864    0    0     0     0 10707 27788 25 38 37  0  0
 3  0  20124 1400688  75140 845872    0    0     0     0 11272 30388 26 41 33  0  0
 3  0  20124 1396348  75140 845872    0    0     0     0 10292 27060 25 39 36  0  0
 2  0  20124 1392008  75144 845872    0    0     0    24 11383 27817 26 40 33  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  20124 1387668  75144 845872    0    0     0    20 11954 29292 25 42 34  0  0
 3  0  20124 1383452  75144 845872    0    0     0     0 10871 25663 25 39 36  0  0
 3  0  20124 1379112  75144 845872    0    0     0     0 11562 27699 26 39 35  0  0
 3  0  20124 1374896  75144 845872    0    0     0     0 11669 28956 26 40 35  0  0
